	subject_ID	RT	Condition	Display_Size
561	4	1177.4	disjunction_negative	15
562	4	915.4	disjunction_negative	30
563	4	840.6	disjunction_negative	30
564	4	497.3	disjunction_negative	30
565	4	603.3	disjunction_negative	15
566	4	813.3	disjunction_negative	15
567	4	695.1	disjunction_negative	30
568	4	872.2	disjunction_negative	30
569	4	908.5	disjunction_negative	30
570	4	706.3	disjunction_negative	15
571	4	739.6	disjunction_negative	15
572	4	744.5	disjunction_negative	1
573	4	596.1	disjunction_negative	1
574	4	629.1	disjunction_negative	30
575	4	854.6	disjunction_negative	30
576	4	718.1	disjunction_negative	1
577	4	466.2	disjunction_negative	1
578	4	608.4	disjunction_negative	30
579	4	434.7	disjunction_negative	1
580	4	491.2	disjunction_negative	1
581	4	510.5	disjunction_negative	1
582	4	492.2	disjunction_negative	1
583	4	1058.5	disjunction_negative	30
584	4	715.5	disjunction_negative	30
585	4	681.1	disjunction_negative	30
586	4	695.3	disjunction_negative	30
587	4	1473.3	disjunction_negative	30
588	4	1149.4	disjunction_negative	15
589	4	835.0	disjunction_negative	5
590	4	1287.4	disjunction_negative	15
591	4	1326.1	disjunction_negative	15
592	4	851.1	disjunction_negative	5
593	4	571.0	disjunction_negative	15
594	4	753.1	disjunction_negative	15
595	4	1030.9	disjunction_negative	30
596	4	711.4	disjunction_negative	1
597	4	517.2	disjunction_negative	5
598	4	522.5	disjunction_negative	5
599	4	539.3	disjunction_negative	1
600	4	619.6	disjunction_negative	5
601	4	1244.8	disjunction_negative	30
602	4	539.3	disjunction_negative	5
603	4	960.2	disjunction_negative	30
604	4	505.4	disjunction_negative	1
605	4	799.7	disjunction_negative	5
606	4	809.2	disjunction_negative	15
607	4	570.8	disjunction_negative	5
608	4	702.0	disjunction_negative	5
609	4	658.0	disjunction_negative	5
610	4	705.7	disjunction_negative	1
611	4	697.2	disjunction_negative	1
612	4	615.5	disjunction_negative	5
613	4	696.3	disjunction_negative	30
614	4	518.8	disjunction_negative	5
615	4	990.6	disjunction_negative	15
616	4	641.2	disjunction_negative	1
617	4	607.5	disjunction_negative	1
618	4	481.4	disjunction_negative	1
619	4	583.9	disjunction_negative	5
620	4	554.4	disjunction_negative	30
621	4	462.3	disjunction_negative	1
622	4	476.2	disjunction_negative	5
623	4	485.1	disjunction_negative	1
624	4	485.6	disjunction_negative	1
625	4	688.7	disjunction_negative	30
626	4	678.5	disjunction_negative	1
627	4	509.8	disjunction_negative	5
628	4	531.8	disjunction_negative	15
629	4	653.2	disjunction_negative	30
630	4	781.4	disjunction_negative	15
631	4	1196.1	disjunction_negative	15
632	4	1445.6	disjunction_negative	30
633	4	726.0	disjunction_negative	15
634	4	787.2	disjunction_negative	30
635	4	693.1	disjunction_negative	30
636	4	531.4	disjunction_negative	1
637	4	838.9	disjunction_negative	15
638	4	847.6	disjunction_negative	30
639	4	471.7	disjunction_negative	1
640	4	590.5	disjunction_negative	15
641	4	513.2	disjunction_negative	1
642	4	694.9	disjunction_negative	30
643	4	837.5	disjunction_negative	15
644	4	1022.4	disjunction_negative	30
645	4	639.4	disjunction_negative	15
646	4	1183.8	disjunction_negative	30
647	4	1050.5	disjunction_negative	15
648	4	779.0	disjunction_negative	30
649	4	806.9	disjunction_negative	30
650	4	610.0	disjunction_negative	30
651	4	856.8	disjunction_negative	15
652	4	929.1	disjunction_negative	15
653	4	597.8	disjunction_negative	5
654	4	963.8	disjunction_negative	30
655	4	679.5	disjunction_negative	5
656	4	679.0	disjunction_negative	5
657	4	1034.6	disjunction_negative	30
658	4	651.2	disjunction_negative	5
659	4	580.5	disjunction_negative	15
660	4	694.8	disjunction_negative	5
661	4	544.0	disjunction_negative	1
662	4	631.9	disjunction_negative	1
663	4	806.4	disjunction_negative	30
664	4	672.6	disjunction_negative	5
665	4	1148.1	disjunction_negative	30
666	4	535.7	disjunction_negative	30
667	4	684.5	disjunction_negative	15
668	4	518.7	disjunction_negative	1
669	4	963.6	disjunction_negative	30
670	4	631.7	disjunction_negative	15
671	4	557.3	disjunction_negative	5
672	4	817.1	disjunction_negative	15
673	4	829.5	disjunction_negative	5
674	4	532.8	disjunction_negative	15
675	4	586.5	disjunction_negative	1
676	4	469.7	disjunction_negative	15
677	4	541.0	disjunction_negative	15
678	4	1121.4	disjunction_negative	15
679	4	1063.2	disjunction_negative	30
680	4	1111.2	disjunction_negative	30
681	4	1092.4	disjunction_negative	30
682	4	879.9	disjunction_negative	5
683	4	920.5	disjunction_negative	15
684	4	598.9	disjunction_negative	30
685	4	509.2	disjunction_negative	5
686	4	515.7	disjunction_negative	1
687	4	552.8	disjunction_negative	5
688	4	806.6	disjunction_negative	15
689	4	641.2	disjunction_negative	5
690	4	641.8	disjunction_negative	30
691	4	621.0	disjunction_negative	30
692	4	909.7	disjunction_negative	30
693	4	627.8	disjunction_negative	30
694	4	532.8	disjunction_negative	5
695	4	617.2	disjunction_negative	15
696	4	570.3	disjunction_negative	15
697	4	701.4	disjunction_negative	1
698	4	613.8	disjunction_negative	5
699	4	535.1	disjunction_negative	15
700	4	411.6	disjunction_negative	1
701	4	480.0	disjunction_negative	1
702	4	545.3	disjunction_negative	1
703	4	424.2	disjunction_negative	1
704	4	513.5	disjunction_negative	1
705	4	898.0	disjunction_negative	15
706	4	535.6	disjunction_negative	1
707	4	540.2	disjunction_negative	1
708	4	400.8	disjunction_negative	1
709	4	458.6	disjunction_negative	1
710	5	1199.5	disjunction_negative	1
711	5	1381.8	disjunction_negative	5
712	5	1058.9	disjunction_negative	1
713	5	1458.5	disjunction_negative	5
714	5	1568.7	disjunction_negative	5
715	5	2102.0	disjunction_negative	30
716	5	1353.8	disjunction_negative	15
717	5	1065.0	disjunction_negative	1
718	5	918.3	disjunction_negative	1
719	5	1497.5	disjunction_negative	30
720	5	1193.2	disjunction_negative	5
721	5	1317.9	disjunction_negative	5
722	5	1654.7	disjunction_negative	1
723	5	2108.0	disjunction_negative	30
724	5	1474.2	disjunction_negative	30
725	5	1158.5	disjunction_negative	5
726	5	1206.1	disjunction_negative	1
727	5	1114.4	disjunction_negative	5
728	5	907.3	disjunction_negative	15
729	5	657.0	disjunction_negative	1
730	5	1824.8	disjunction_negative	30
731	5	562.6	disjunction_negative	5
732	5	1416.2	disjunction_negative	5
733	5	729.6	disjunction_negative	1
734	5	438.5	disjunction_negative	1
735	5	1631.0	disjunction_negative	15
736	5	1095.5	disjunction_negative	15
737	5	1127.4	disjunction_negative	1
738	5	1011.0	disjunction_negative	5
739	5	2053.6	disjunction_negative	30
740	5	941.6	disjunction_negative	15
741	5	674.0	disjunction_negative	5
742	5	913.3	disjunction_negative	5
743	5	1052.5	disjunction_negative	1
744	5	700.6	disjunction_negative	1
745	5	885.9	disjunction_negative	5
746	5	764.7	disjunction_negative	5
747	5	771.5	disjunction_negative	1
748	5	1816.3	disjunction_negative	5
749	5	1085.7	disjunction_negative	5
750	5	1484.3	disjunction_negative	30
751	5	474.9	disjunction_negative	15
752	5	689.9	disjunction_negative	1
753	5	1377.0	disjunction_negative	15
754	5	692.2	disjunction_negative	1
755	5	1935.3	disjunction_negative	30
756	5	1119.6	disjunction_negative	5
757	5	1773.6	disjunction_negative	1
