Target_Type	Trial_Type	Display_Size	Target	Response	Key_press	RT	Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
disjunction	negative	30	Null	hit	F	6953	2	4053623	1	7000	1	0	next
disjunction	positive	5	X_blue	hit	J	6301	2	4085959	1	6500	1	0	next
disjunction	positive	1	X_blue	hit	J	5503	2	4117794	1	5667	1	0	next
disjunction	positive	15	X_blue	hit	J	4423	2	4148796	1	4500	1	0	next
conjunction	positive	5	T_green	incorrect	F	6948	2	4613326	1	7000	1	0	next
conjunction	negative	5	Null	hit	F	6612	2	4645661	1	6667	1	0	next
conjunction	positive	1	T_green	incorrect	F	4687	2	4677663	1	4834	1	0	next
conjunction	positive	5	T_green	hit	J	5241	2	4707832	1	5334	1	0	next
conjunction	negative	1	Null	hit	F	7053	2	4738501	1	7167	1	0	next
conjunction	positive	15	T_green	hit	J	7673	2	4771003	1	7834	1	0	next
conjunction	negative	1	Null	hit	F	5224	2	4804172	1	5334	1	0	next
conjunction	negative	5	Null	hit	F	6237	2	4834840	1	6334	1	0	next
conjunction	positive	30	T_green	incorrect	F	7372	2	4866509	1	7500	1	0	next
conjunction	negative	30	Null	hit	F	10852	2	4899344	1	11001	1	0	next
conjunction	negative	30	Null	hit	F	6998	2	4935680	1	7167	1	0	next
conjunction	negative	15	Null	hit	F	6496	2	4968182	1	6667	1	0	next
conjunction	positive	30	T_green	incorrect	F	9055	2	5000184	1	9167	1	0	next
conjunction	positive	1	T_green	hit	J	7035	2	5034686	1	7167	1	0	next
conjunction	positive	1	T_green	hit	J	3816	2	5067188	1	4000	1	0	next
conjunction	positive	15	T_green	hit	J	10641	2	5096524	1	10834	1	0	next
conjunction	negative	15	Null	hit	F	9834	2	5132693	1	10001	1	0	next
conjunction	negative	1	Null	hit	F	5375	2	5168028	1	5500	1	0	next
conjunction	negative	1	Null	hit	F	4631	2	5198864	1	4667	1	0	next
conjunction	negative	30	Null	hit	F	13981	2	5228866	1	14168	1	0	next
conjunction	positive	5	T_green	hit	J	9358	2	5268368	1	9501	1	0	next
conjunction	positive	1	T_green	hit	J	3965	2	5303204	1	4000	1	0	next
conjunction	negative	15	Null	hit	F	10471	2	5332539	1	10667	1	0	next
conjunction	negative	15	Null	hit	F	7588	2	5368541	1	7667	1	0	next
conjunction	negative	15	Null	hit	F	10746	2	5401543	1	10834	1	0	next
conjunction	positive	15	T_green	hit	J	6420	2	5437712	1	6500	1	0	next
conjunction	positive	30	T_green	incorrect	F	8505	2	5469548	1	8667	1	0	next
conjunction	negative	15	Null	hit	F	7464	2	5503550	1	7501	1	0	next
conjunction	positive	1	T_green	hit	J	4871	2	5536385	1	5000	1	0	next
conjunction	positive	30	T_green	hit	J	7655	2	5566721	1	7834	1	0	next
conjunction	positive	1	T_green	hit	J	3926	2	5599889	1	4000	1	0	next
conjunction	positive	1	T_green	hit	J	4191	2	5629225	1	4334	1	0	next
conjunction	negative	15	Null	incorrect	J	6845	2	5658893	1	7000	1	0	next
conjunction	positive	1	T_green	hit	J	4108	2	5691229	1	4167	1	0	next
conjunction	positive	15	T_green	incorrect	F	9808	2	5720730	1	10001	1	0	next
conjunction	positive	1	T_green	hit	J	3913	2	5756066	1	4000	1	0	next
conjunction	positive	5	T_green	hit	J	8500	2	5785401	1	8667	1	0	next
conjunction	negative	5	Null	hit	F	7138	2	5819403	1	7167	1	0	next
conjunction	positive	30	T_green	hit	J	15277	2	5851906	1	15334	1	0	next
conjunction	negative	1	Null	hit	F	5332	2	5892575	1	5500	1	0	next
conjunction	positive	30	T_green	incorrect	F	13056	2	5923410	1	13168	1	0	next
conjunction	negative	30	Null	hit	F	21753	2	5961913	1	21835	1	0	next
conjunction	negative	5	Null	hit	F	12826	2	6009082	1	13001	1	0	next
conjunction	negative	15	Null	hit	F	10650	2	6047418	1	10834	1	0	next
conjunction	positive	1	T_green	hit	J	4880	2	6083587	1	5000	1	0	next
conjunction	negative	5	Null	hit	F	6069	2	6113922	1	6167	1	0	next
conjunction	negative	15	Null	hit	F	6565	2	6145424	1	6667	1	0	next
conjunction	negative	15	Null	hit	F	6884	2	6177426	1	7000	1	0	next
conjunction	positive	1	T_green	hit	J	3993	2	6209762	1	4167	1	0	next
conjunction	negative	1	Null	hit	F	5049	2	6239264	1	5167	1	0	next
conjunction	negative	5	Null	hit	F	5427	2	6269766	1	5500	1	0	next
conjunction	negative	15	Null	hit	F	6114	2	6300601	1	6167	1	0	next
conjunction	negative	5	Null	hit	F	4851	2	6332103	1	5000	1	0	next
conjunction	positive	5	T_green	hit	J	5716	2	6362438	1	5834	1	0	next
conjunction	negative	30	Null	hit	F	14549	2	6393607	1	14668	1	0	next
conjunction	negative	5	Null	hit	F	7027	2	6433610	1	7167	1	0	next
conjunction	negative	1	Null	hit	F	5566	2	6466112	1	5667	1	0	next
conjunction	negative	5	Null	hit	F	7524	2	6497114	1	7667	1	0	next
conjunction	positive	1	T_green	hit	J	4283	2	6530116	1	4334	1	0	next
conjunction	negative	15	Null	hit	F	6618	2	6559784	1	6667	1	0	next
conjunction	positive	1	T_green	hit	J	3735	2	6591786	1	3834	1	0	next
conjunction	positive	30	T_green	incorrect	F	11686	2	6620955	1	11834	1	0	next
conjunction	positive	15	T_green	incorrect	F	11804	2	6658124	1	12001	1	0	next
conjunction	negative	5	Null	hit	F	8544	2	6695460	1	8667	1	0	next
conjunction	negative	15	Null	hit	F	14063	2	6729462	1	14168	1	0	next
conjunction	negative	5	Null	hit	F	7361	2	6768964	1	7500	1	0	next
conjunction	positive	15	T_green	hit	J	10685	2	6801800	1	10834	1	0	next
conjunction	positive	30	T_green	incorrect	F	19322	2	6837969	1	19501	1	0	next
